module,pi,theta,karatsuba,length,cycles
mmh,226,5,1,15820,40149
mmh,226,5,1,15960,40415
nmh,116,3,0,140,181
nmh,116,3,0,280,339
nmh,116,3,0,420,400
nmh,116,3,0,560,550
nmh,116,3,0,700,613
nmh,116,3,0,840,765
nmh,116,3,0,980,830
nmh,116,3,0,1120,984
nmh,116,3,0,1260,1049
nmh,116,3,0,1400,1207
nmh,116,3,0,1540,1273
nmh,116,3,0,1680,1432
nmh,116,3,0,1820,1499
nmh,116,3,0,1960,1661
nmh,116,3,0,2100,1730
nmh,116,3,0,2240,1887
nmh,116,3,0,2380,1949
nmh,116,3,0,2520,2107
nmh,116,3,0,2660,2168
nmh,116,3,0,2800,2327
nmh,116,3,0,2940,2389
nmh,116,3,0,3080,2546
nmh,116,3,0,3220,2609
nmh,116,3,0,3360,2766
nmh,116,3,0,3500,2829
nmh,116,3,0,3640,2985
nmh,116,3,0,3780,3046
nmh,116,3,0,3920,3205
nmh,116,3,0,4060,3266
nmh,116,3,0,4200,3424
nmh,116,3,0,4340,3483
nmh,116,3,0,4480,3643
nmh,116,3,0,4620,3705
nmh,116,3,0,4760,3863
nmh,116,3,0,4900,3922
nmh,116,3,0,5040,4082
nmh,116,3,0,5180,4142
nmh,116,3,0,5320,4303
nmh,116,3,0,5460,4365
nmh,116,3,0,5600,4522
nmh,116,3,0,5740,4580
nmh,116,3,0,5880,4741
nmh,116,3,0,6020,4798
nmh,116,3,0,6160,4961
nmh,116,3,0,6300,5019
nmh,116,3,0,6440,5179
nmh,116,3,0,6580,5238
nmh,116,3,0,6720,5399
nmh,116,3,0,6860,5460
nmh,116,3,0,7000,5619
nmh,116,3,0,7140,5681
nmh,116,3,0,7280,5839
nmh,116,3,0,7420,5895
nmh,116,3,0,7560,6058
nmh,116,3,0,7700,6115
nmh,116,3,0,7840,6276
nmh,116,3,0,7980,6340
nmh,116,3,0,8120,6500
nmh,116,3,0,8260,6558
nmh,116,3,0,8400,6718
nmh,116,3,0,8540,6772
nmh,116,3,0,8680,6937
nmh,116,3,0,8820,6991
nmh,116,3,0,8960,7157
nmh,116,3,0,9100,7215
nmh,116,3,0,9240,7377
nmh,116,3,0,9380,7431
nmh,116,3,0,9520,7594
nmh,116,3,0,9660,7657
nmh,116,3,0,9800,7814
nmh,116,3,0,9940,7874
nmh,116,3,0,10080,8033
nmh,116,3,0,10220,8089
nmh,116,3,0,10360,8252
nmh,116,3,0,10500,8314
nmh,116,3,0,10640,8472
nmh,116,3,0,10780,8534
nmh,116,3,0,10920,8693
nmh,116,3,0,11060,8745
nmh,116,3,0,11200,8913
nmh,116,3,0,11340,8969
nmh,116,3,0,11480,9132
nmh,116,3,0,11620,9191
nmh,116,3,0,11760,9351
nmh,116,3,0,11900,9408
nmh,116,3,0,12040,9569
nmh,116,3,0,12180,9632
nmh,116,3,0,12320,9800
nmh,116,3,0,12460,9847
nmh,116,3,0,12600,10016
nmh,116,3,0,12740,10071
nmh,116,3,0,12880,10234
nmh,116,3,0,13020,10291
nmh,116,3,0,13160,10452
nmh,116,3,0,13300,10503
nmh,116,3,0,13440,10675
nmh,116,3,0,13580,10732
nmh,116,3,0,13720,10892
nmh,116,3,0,13860,10950
nmh,116,3,0,14000,11111
nmh,116,3,0,14140,11168
nmh,116,3,0,14280,11332
nmh,116,3,0,14420,11382
nmh,116,3,0,14560,11549
nmh,116,3,0,14700,11601
nmh,116,3,0,14840,11770
nmh,116,3,0,14980,11826
nmh,116,3,0,15120,11989
nmh,116,3,0,15260,12043
nmh,116,3,0,15400,12216
nmh,116,3,0,15540,12275
nmh,116,3,0,15680,12435
nmh,116,3,0,15820,12493
nmh,116,3,0,15960,12654
nmh,116,3,1,140,189
nmh,116,3,1,280,354
nmh,116,3,1,420,453
nmh,116,3,1,560,614
nmh,116,3,1,700,720
nmh,116,3,1,840,876
nmh,116,3,1,980,1021
nmh,116,3,1,1120,1160
nmh,116,3,1,1260,1306
nmh,116,3,1,1400,1466
nmh,116,3,1,1540,1595
nmh,116,3,1,1680,1766
nmh,116,3,1,1820,1888
nmh,116,3,1,1960,2060
nmh,116,3,1,2100,2170
nmh,116,3,1,2240,2343
nmh,116,3,1,2380,2451
nmh,116,3,1,2520,2624
nmh,116,3,1,2660,2732
nmh,116,3,1,2800,2903
nmh,116,3,1,2940,3012
nmh,116,3,1,3080,3183
nmh,116,3,1,3220,3292
nmh,116,3,1,3360,3464
nmh,116,3,1,3500,3572
nmh,116,3,1,3640,3745
nmh,116,3,1,3780,3852
nmh,116,3,1,3920,4025
nmh,116,3,1,4060,4133
nmh,116,3,1,4200,4305
nmh,116,3,1,4340,4414
nmh,116,3,1,4480,4587
nmh,116,3,1,4620,4694
nmh,116,3,1,4760,4868
nmh,116,3,1,4900,4976
nmh,116,3,1,5040,5150
nmh,116,3,1,5180,5255
nmh,116,3,1,5320,5437
nmh,116,3,1,5460,5537
nmh,116,3,1,5600,5708
nmh,116,3,1,5740,5815
nmh,116,3,1,5880,5988
nmh,116,3,1,6020,6096
nmh,116,3,1,6160,6269
nmh,116,3,1,6300,6378
nmh,116,3,1,6440,6550
nmh,116,3,1,6580,6657
nmh,116,3,1,6720,6839
nmh,116,3,1,6860,6944
nmh,116,3,1,7000,7118
nmh,116,3,1,7140,7225
nmh,116,3,1,7280,7400
nmh,116,3,1,7420,7504
nmh,116,3,1,7560,7680
nmh,116,3,1,7700,7784
nmh,116,3,1,7840,7959
nmh,116,3,1,7980,8063
nmh,116,3,1,8120,8239
nmh,116,3,1,8260,8350
nmh,116,3,1,8400,8519
nmh,116,3,1,8540,8627
nmh,116,3,1,8680,8801
nmh,116,3,1,8820,8907
nmh,116,3,1,8960,9082
nmh,116,3,1,9100,9186
nmh,116,3,1,9240,9361
nmh,116,3,1,9380,9464
nmh,116,3,1,9520,9641
nmh,116,3,1,9660,9744
nmh,116,3,1,9800,9921
