module,pi,theta,karatsuba,length,cycles
mmh,116,3,1,13580,20004
mmh,116,3,1,13692,20174
mmh,116,3,1,13804,20337
mmh,116,3,1,13916,20495
mmh,116,3,1,14028,20665
mmh,116,3,1,14140,20831
mmh,116,3,1,14252,20989
mmh,116,3,1,14364,21158
mmh,116,3,1,14476,21325
mmh,116,3,1,14588,21483
mmh,116,3,1,14700,21652
mmh,116,3,1,14812,21811
mmh,116,3,1,14924,21980
mmh,116,3,1,15036,22140
mmh,116,3,1,15148,22310
mmh,116,3,1,15260,22468
mmh,116,3,1,15372,22638
mmh,116,3,1,15484,22801
mmh,116,3,1,15596,22965
mmh,116,3,1,15708,23132
mmh,116,3,1,15820,23291
mmh,116,3,1,15932,23453
mmh,226,5,0,140,462
mmh,226,5,0,252,709
mmh,226,5,0,364,970
mmh,226,5,0,476,1231
mmh,226,5,0,588,1489
mmh,226,5,0,700,1750
mmh,226,5,0,812,2011
mmh,226,5,0,924,2271
mmh,226,5,0,1036,2531
mmh,226,5,0,1148,2797
mmh,226,5,0,1260,3053
mmh,226,5,0,1372,3311
mmh,226,5,0,1484,3565
mmh,226,5,0,1596,3813
mmh,226,5,0,1708,4067
mmh,226,5,0,1820,4320
mmh,226,5,0,1932,4577
mmh,226,5,0,2044,4827
mmh,226,5,0,2156,5083
mmh,226,5,0,2268,5331
mmh,226,5,0,2380,5587
mmh,226,5,0,2492,5841
mmh,226,5,0,2604,6094
mmh,226,5,0,2716,6347
mmh,226,5,0,2828,6600
mmh,226,5,0,2940,6856
mmh,226,5,0,3052,7105
mmh,226,5,0,3164,7363
mmh,226,5,0,3276,7610
mmh,226,5,0,3388,7868
mmh,226,5,0,3500,8121
mmh,226,5,0,3612,8373
mmh,226,5,0,3724,8628
mmh,226,5,0,3836,8881
mmh,226,5,0,3948,9136
mmh,226,5,0,4060,9385
mmh,226,5,0,4172,9641
mmh,226,5,0,4284,9890
mmh,226,5,0,4396,10149
mmh,226,5,0,4508,10400
mmh,226,5,0,4620,10654
mmh,226,5,0,4732,10906
mmh,226,5,0,4844,11160
mmh,226,5,0,4956,11416
mmh,226,5,0,5068,11664
mmh,226,5,0,5180,11922
mmh,226,5,0,5292,12171
mmh,226,5,0,5404,12428
mmh,226,5,0,5516,12680
mmh,226,5,0,5628,12934
mmh,226,5,0,5740,13186
mmh,226,5,0,5852,13439
mmh,226,5,0,5964,13698
mmh,226,5,0,6076,13944
mmh,226,5,0,6188,14205
mmh,226,5,0,6300,14451
mmh,226,5,0,6412,14709
mmh,226,5,0,6524,14961
mmh,226,5,0,6636,15215
mmh,226,5,0,6748,15466
mmh,226,5,0,6860,15719
mmh,226,5,0,6972,15969
mmh,226,5,0,7084,16222
mmh,226,5,0,7196,16475
mmh,226,5,0,7308,16730
mmh,226,5,0,7420,16985
mmh,226,5,0,7532,17239
mmh,226,5,0,7644,17490
mmh,226,5,0,7756,17744
mmh,226,5,0,7868,17998
mmh,226,5,0,7980,18251
mmh,226,5,0,8092,18503
mmh,226,5,0,8204,18757
mmh,226,5,0,8316,19010
mmh,226,5,0,8428,19265
mmh,226,5,0,8540,19519
mmh,226,5,0,8652,19772
mmh,226,5,0,8764,20026
mmh,226,5,0,8876,20277
mmh,226,5,0,8988,20532
mmh,226,5,0,9100,20783
mmh,226,5,0,9212,21038
mmh,226,5,0,9324,21291
mmh,226,5,0,9436,21545
mmh,226,5,0,9548,21800
mmh,226,5,0,9660,22049
mmh,226,5,0,9772,22304
mmh,226,5,0,9884,22557
mmh,226,5,0,9996,22813
mmh,226,5,0,10108,23061
mmh,226,5,0,10220,23316
mmh,226,5,0,10332,23571
mmh,226,5,0,10444,23829
mmh,226,5,0,10556,24077
mmh,226,5,0,10668,24330
mmh,226,5,0,10780,24584
mmh,226,5,0,10892,24836
mmh,226,5,0,11004,25091
