module,pi,theta,karatsuba,length,cycles
mmh,226,5,0,5292,12176
mmh,226,5,0,5404,12430
mmh,226,5,0,5516,12682
mmh,226,5,0,5628,12936
mmh,226,5,0,5740,13190
mmh,226,5,0,5852,13441
mmh,226,5,0,5964,13691
mmh,226,5,0,6076,13939
mmh,226,5,0,6188,14198
mmh,226,5,0,6300,14448
mmh,226,5,0,6412,14704
mmh,226,5,0,6524,14954
mmh,226,5,0,6636,15215
mmh,226,5,0,6748,15461
mmh,226,5,0,6860,15711
mmh,226,5,0,6972,15965
mmh,226,5,0,7084,16216
mmh,226,5,0,7196,16472
mmh,226,5,0,7308,16724
mmh,226,5,0,7420,16977
mmh,226,5,0,7532,17235
mmh,226,5,0,7644,17486
mmh,226,5,0,7756,17738
mmh,226,5,0,7868,17990
mmh,226,5,0,7980,18246
mmh,226,5,0,8092,18495
mmh,226,5,0,8204,18751
mmh,226,5,0,8316,19004
mmh,226,5,0,8428,19258
mmh,226,5,0,8540,19511
mmh,226,5,0,8652,19764
mmh,226,5,0,8764,20016
mmh,226,5,0,8876,20268
mmh,226,5,0,8988,20526
mmh,226,5,0,9100,20773
mmh,226,5,0,9212,21032
mmh,226,5,0,9324,21283
mmh,226,5,0,9436,21538
mmh,226,5,0,9548,21791
mmh,226,5,0,9660,22043
mmh,226,5,0,9772,22295
mmh,226,5,0,9884,22548
mmh,226,5,0,9996,22806
mmh,226,5,0,10108,23054
mmh,226,5,0,10220,23312
mmh,226,5,0,10332,23561
mmh,226,5,0,10444,23816
mmh,226,5,0,10556,24071
mmh,226,5,0,10668,24321
mmh,226,5,0,10780,24578
mmh,226,5,0,10892,24825
mmh,226,5,0,11004,25089
mmh,226,5,0,11116,25333
mmh,226,5,0,11228,25599
mmh,226,5,0,11340,25853
mmh,226,5,0,11452,26107
mmh,226,5,0,11564,26362
mmh,226,5,0,11676,26617
mmh,226,5,0,11788,26865
mmh,226,5,0,11900,27122
mmh,226,5,0,12012,27374
mmh,226,5,0,12124,27623
mmh,226,5,0,12236,27884
mmh,226,5,0,12348,28133
mmh,226,5,0,12460,28384
mmh,226,5,0,12572,28641
mmh,226,5,0,12684,28899
mmh,226,5,0,12796,29146
mmh,226,5,0,12908,29402
mmh,226,5,0,13020,29654
mmh,226,5,0,13132,29904
mmh,226,5,0,13244,30160
mmh,226,5,0,13356,30415
mmh,226,5,0,13468,30664
mmh,226,5,0,13580,30922
mmh,226,5,0,13692,31166
mmh,226,5,0,13804,31430
mmh,226,5,0,13916,31675
mmh,226,5,0,14028,31932
mmh,226,5,0,14140,32182
mmh,226,5,0,14252,32440
mmh,226,5,0,14364,32690
mmh,226,5,0,14476,32949
mmh,226,5,0,14588,33190
mmh,226,5,0,14700,33440
mmh,226,5,0,14812,33687
mmh,226,5,0,14924,33945
mmh,226,5,0,15036,34194
mmh,226,5,0,15148,34443
mmh,226,5,0,15260,34705
mmh,226,5,0,15372,34955
mmh,226,5,0,15484,35209
mmh,226,5,0,15596,35462
mmh,226,5,0,15708,35714
mmh,226,5,0,15820,35964
mmh,226,5,0,15932,36218
mmh,226,5,1,140,508
mmh,226,5,1,252,795
mmh,226,5,1,364,1075
mmh,226,5,1,476,1357
mmh,226,5,1,588,1638
mmh,226,5,1,700,1919
mmh,226,5,1,812,2201
mmh,226,5,1,924,2482
mmh,226,5,1,1036,2764
mmh,226,5,1,1148,3045
mmh,226,5,1,1260,3327
mmh,226,5,1,1372,3607
mmh,226,5,1,1484,3889
mmh,226,5,1,1596,4171
mmh,226,5,1,1708,4452
mmh,226,5,1,1820,4734
mmh,226,5,1,1932,5015
mmh,226,5,1,2044,5297
mmh,226,5,1,2156,5579
mmh,226,5,1,2268,5859
mmh,226,5,1,2380,6141
mmh,226,5,1,2492,6423
mmh,226,5,1,2604,6705
mmh,226,5,1,2716,6985
mmh,226,5,1,2828,7267
mmh,226,5,1,2940,7548
mmh,226,5,1,3052,7833
mmh,226,5,1,3164,8111
mmh,226,5,1,3276,8392
mmh,226,5,1,3388,8675
mmh,226,5,1,3500,8955
mmh,226,5,1,3612,9238
mmh,226,5,1,3724,9519
mmh,226,5,1,3836,9800
mmh,226,5,1,3948,10082
mmh,226,5,1,4060,10365
mmh,226,5,1,4172,10647
mmh,226,5,1,4284,10928
mmh,226,5,1,4396,11211
mmh,226,5,1,4508,11491
mmh,226,5,1,4620,11773
mmh,226,5,1,4732,12060
mmh,226,5,1,4844,12336
mmh,226,5,1,4956,12619
mmh,226,5,1,5068,12898
mmh,226,5,1,5180,13217
mmh,226,5,1,5292,13462
mmh,226,5,1,5404,13744
mmh,226,5,1,5516,14025
mmh,226,5,1,5628,14304
mmh,226,5,1,5740,14588
mmh,226,5,1,5852,14870
mmh,226,5,1,5964,15221
mmh,226,5,1,6076,15435
mmh,226,5,1,6188,15714
mmh,226,5,1,6300,15995
mmh,226,5,1,6412,16277
mmh,226,5,1,6524,16556
mmh,226,5,1,6636,16839
mmh,226,5,1,6748,17120
mmh,226,5,1,6860,17488
mmh,226,5,1,6972,17771
mmh,226,5,1,7084,18055
mmh,226,5,1,7196,18336
mmh,226,5,1,7308,18619
mmh,226,5,1,7420,18902
mmh,226,5,1,7532,19184
mmh,226,5,1,7644,19467
mmh,226,5,1,7756,19751
mmh,226,5,1,7868,20033
mmh,226,5,1,7980,20315
mmh,226,5,1,8092,20597
mmh,226,5,1,8204,20881
mmh,226,5,1,8316,21164
mmh,226,5,1,8428,21446
mmh,226,5,1,8540,21730
mmh,226,5,1,8652,22013
mmh,226,5,1,8764,22297
mmh,226,5,1,8876,22578
mmh,226,5,1,8988,22862
mmh,226,5,1,9100,23141
mmh,226,5,1,9212,23428
mmh,226,5,1,9324,23709
mmh,226,5,1,9436,23991
mmh,226,5,1,9548,24273
mmh,226,5,1,9660,24558
mmh,226,5,1,9772,24839
mmh,226,5,1,9884,25121
mmh,226,5,1,9996,25407
mmh,226,5,1,10108,25688
mmh,226,5,1,10220,25972
mmh,226,5,1,10332,26253
mmh,226,5,1,10444,26536
mmh,226,5,1,10556,26820
mmh,226,5,1,10668,27102
mmh,226,5,1,10780,27385
mmh,226,5,1,10892,27724
mmh,226,5,1,11004,27949
mmh,226,5,1,11116,28233
mmh,226,5,1,11228,28515
mmh,226,5,1,11340,28799
mmh,226,5,1,11452,29081
mmh,226,5,1,11564,29362
mmh,226,5,1,11676,29646
mmh,226,5,1,11788,29928
mmh,226,5,1,11900,30214
mmh,226,5,1,12012,30496
mmh,226,5,1,12124,30778
mmh,226,5,1,12236,31058
mmh,226,5,1,12348,31342
mmh,226,5,1,12460,31624
mmh,226,5,1,12572,31910
mmh,226,5,1,12684,32189
mmh,226,5,1,12796,32475
mmh,226,5,1,12908,32758
mmh,226,5,1,13020,33040
mmh,226,5,1,13132,33321
mmh,226,5,1,13244,33604
mmh,226,5,1,13356,33890
mmh,226,5,1,13468,34174
mmh,226,5,1,13580,34452
mmh,226,5,1,13692,34735
mmh,226,5,1,13804,35019
mmh,226,5,1,13916,35301
mmh,226,5,1,14028,35583
mmh,226,5,1,14140,35863
mmh,226,5,1,14252,37226
mmh,226,5,1,14364,36612
mmh,226,5,1,14476,36868
mmh,226,5,1,14588,36980
